IA1	IB1	averageP	sdP	overlap	direction
a celebrity	a soldier	0.270929204	0.040423826	0.541858407	-1
a celebrity	a terrorist	0.869756757	0.03200262	0.260486486	1
a celebrity	a thief	0.765432432	0.041375509	0.469135135	1
a celebrity	an addict	0.617743119	0.046224177	0.764513761	1
a celebrity	an adult	0.361099099	0.045063326	0.722198198	-1
a celebrity	an adult with a deadly contagious disease	0.609590164	0.044461092	0.780819672	1
a celebrity	an assassin	0.797811966	0.035682193	0.404376068	1
a celebrity	an astronaut	0.393646552	0.04690244	0.787293103	-1
a celebrity	an elderly person	0.306889908	0.045726782	0.613779817	-1
a celebrity	an Olympian	0.420575472	0.046129421	0.841150943	-1
a celebrity	an orphan	0.296142857	0.042605798	0.592285714	-1
a celebrity	a cockroach	0.894363636	0.029748683	0.211272727	1
a celebrity	a life-saving antidote	0.238495652	0.039491375	0.476991304	-1
a celebrity	a rabid possum	0.884724138	0.03019443	0.230551724	1
a celebrity	a smartphone	0.690973451	0.044218191	0.618053097	1
a cockroach	a university student	0.007773913	0.008518738	0.015547826	-1
a cockroach	a Member of Parliament	0.089601852	0.026622485	0.179203704	-1
a cockroach	a convict	0.218968254	0.036632986	0.437936508	-1
a cockroach	a hooligan	0.260767241	0.04161955	0.521534483	-1
a cockroach	a homeless adult	0.03468	0.01641655	0.06936	-1
a cockroach	a judge	0.019094017	0.012784798	0.038188034	-1
a cockroach	a mentor	0.00795	0.008202527	0.0159	-1
a cockroach	a nun	0.026633333	0.014866925	0.053266667	-1
a cockroach	a pedophile	0.504603306	0.045335564	0.990793388	1
a cockroach	a police officer	0.02484127	0.014046122	0.04968254	-1
a cockroach	a rapist	0.490935484	0.044056525	0.981870968	-1
a cockroach	a soldier	0.006813559	0.007534153	0.013627119	-1
a cockroach	a terrorist	0.446637931	0.046297793	0.893275862	-1
a cockroach	a thief	0.289198276	0.04174875	0.578396552	-1
a cockroach	an addict	0.136824561	0.03297654	0.273649123	-1
a cockroach	an adult	0.011991379	0.009857134	0.023982759	-1
a cockroach	an adult with a deadly contagious disease	0.167771654	0.033548208	0.335543307	-1
a cockroach	an assassin	0.351270492	0.041392612	0.702540984	-1
a cockroach	an astronaut	0.019	0.012593265	0.038	-1
a cockroach	an elderly person	0.016842105	0.01240414	0.033684211	-1
a cockroach	an Olympian	0.014891892	0.011382009	0.029783784	-1
a cockroach	an orphan	0.00908547	0.008657647	0.01817094	-1
a cockroach	a life-saving antidote	0.007383333	0.007781191	0.014766667	-1
a cockroach	a rabid possum	0.366785124	0.043006122	0.733570248	-1
a cockroach	a smartphone	0.119050847	0.030122715	0.238101695	-1
a university student	a Member of Parliament	0.647366972	0.045710595	0.705266055	1
a university student	a convict	0.810417323	0.033934765	0.379165354	1
a university student	a hooligan	0.858273504	0.031504583	0.283452991	1
a university student	a homeless adult	0.578496	0.044860031	0.843008	1
a university student	a judge	0.559423729	0.046173254	0.881152542	1
a university student	a mentor	0.479666667	0.045695603	0.959333333	-1
a university student	a nun	0.579628099	0.04388186	0.840743802	1
a university student	a pedophile	0.961213115	0.017642591	0.07757377	1
a university student	a police officer	0.473634921	0.044058081	0.947269841	-1
a university student	a rapist	0.949314516	0.018977012	0.101370968	1
a university student	a soldier	0.371211864	0.044719783	0.742423729	-1
a university student	a terrorist	0.954008547	0.019896838	0.091982906	1
a university student	a thief	0.87442735	0.03118012	0.251145299	1
a university student	an addict	0.747678261	0.040267682	0.504643478	1
a university student	an adult	0.487112069	0.047949103	0.974224138	-1
a university student	an adult with a deadly contagious disease	0.730976378	0.03926388	0.538047244	1
a university student	an assassin	0.902647541	0.026180889	0.194704918	1
a university student	an astronaut	0.533778689	0.043323604	0.932442623	1
a university student	an elderly person	0.413721739	0.044873733	0.827443478	-1
a university student	an Olympian	0.559589286	0.048694261	0.880821429	1
a university student	an orphan	0.411478632	0.045661422	0.822957265	-1
a university student	a life-saving antidote	0.334958333	0.042228425	0.669916667	-1
a university student	a rabid possum	0.978272727	0.013695352	0.043454545	1
a university student	a smartphone	0.830627119	0.03404834	0.338745763	1
a Member of Parliament	a convict	0.65695	0.044248853	0.6861	1
a Member of Parliament	a hooligan	0.707463636	0.044322941	0.585072727	1
a Member of Parliament	a homeless adult	0.390483051	0.045465018	0.780966102	-1
a Member of Parliament	a judge	0.374252252	0.046296704	0.748504505	-1
a Member of Parliament	a mentor	0.309752212	0.043319427	0.619504425	-1
a Member of Parliament	a nun	0.392754386	0.044379828	0.785508772	-1
a Member of Parliament	a pedophile	0.87373913	0.030081889	0.252521739	1
a Member of Parliament	a police officer	0.317361345	0.043302838	0.634722689	-1
a Member of Parliament	a rapist	0.855307692	0.031337817	0.289384615	1
a Member of Parliament	a soldier	0.234396396	0.040706459	0.468792793	-1
a Member of Parliament	a terrorist	0.844918182	0.034703099	0.310163636	1
a Member of Parliament	a thief	0.730127273	0.043729581	0.539745455	1
a Member of Parliament	an addict	0.569805556	0.046965722	0.860388889	1
a Member of Parliament	an adult	0.314082569	0.045603329	0.628165138	-1
a Member of Parliament	an adult with a deadly contagious disease	0.566841667	0.04527238	0.866316667	1
a Member of Parliament	an assassin	0.767817391	0.039430886	0.464365217	1
a Member of Parliament	an astronaut	0.346626087	0.043980178	0.693252174	-1
a Member of Parliament	an elderly person	0.266703704	0.041137924	0.533407407	-1
a Member of Parliament	an Olympian	0.3744	0.047977729	0.7488	-1
a Member of Parliament	an orphan	0.258554545	0.040329428	0.517109091	-1
a Member of Parliament	a life-saving antidote	0.208654867	0.036195279	0.417309735	-1
a Member of Parliament	a rabid possum	0.857710526	0.032579133	0.284578947	1
a Member of Parliament	a smartphone	0.640144144	0.044506027	0.719711712	1
a convict	a hooligan	0.505414063	0.042996468	0.989171875	1
a convict	a homeless adult	0.209544118	0.034604276	0.419088235	-1
a convict	a judge	0.201325581	0.034553151	0.402651163	-1
a convict	a mentor	0.15851145	0.032027771	0.317022901	-1
a convict	a nun	0.206212121	0.033959083	0.412424242	-1
a convict	a pedophile	0.702255639	0.041505171	0.595488722	1
a convict	a police officer	0.174080292	0.031944922	0.348160584	-1
a convict	a rapist	0.683222222	0.04051228	0.633555556	1
a convict	a soldier	0.124821705	0.029687253	0.249643411	-1
a convict	a terrorist	0.6673125	0.042477667	0.665375	1
a convict	a thief	0.532835938	0.045321554	0.934328125	1
a convict	an addict	0.369587302	0.042051098	0.739174603	-1
a convict	an adult	0.163779528	0.032443407	0.327559055	-1
a convict	an adult with a deadly contagious disease	0.375543478	0.042077741	0.751086957	-1
a convict	an assassin	0.578556391	0.042368304	0.842887218	1
a convict	an astronaut	0.175218045	0.033929648	0.35043609	-1
a convict	an elderly person	0.139190476	0.031039612	0.278380952	-1
a convict	an Olympian	0.189569106	0.036098133	0.379138211	-1
a convict	an orphan	0.131296875	0.028813159	0.26259375	-1
a convict	a life-saving antidote	0.114259542	0.028056405	0.228519084	-1
a convict	a rabid possum	0.651590909	0.040588393	0.696818182	1
a convict	a smartphone	0.419496124	0.044056709	0.838992248	-1
a hooligan	a homeless adult	0.160920635	0.031831146	0.32184127	-1
a hooligan	a judge	0.156151261	0.032291267	0.312302521	-1
a hooligan	a mentor	0.121487603	0.02848289	0.242975207	-1
a hooligan	a nun	0.159852459	0.032052521	0.319704918	-1
a hooligan	a pedophile	0.664211382	0.044606592	0.671577236	1
a hooligan	a police officer	0.141937008	0.029939677	0.283874016	-1
a hooligan	a rapist	0.643832	0.04173883	0.712336	1
a hooligan	a soldier	0.098336134	0.02677938	0.196672269	-1
a hooligan	a terrorist	0.621059322	0.043965567	0.757881356	1
a hooligan	a thief	0.480940678	0.045567625	0.961881356	-1
a hooligan	an addict	0.316758621	0.043130591	0.633517241	-1
a hooligan	an adult	0.127264957	0.030107204	0.254529915	-1
a hooligan	an adult with a deadly contagious disease	0.331585938	0.042035098	0.663171875	-1
a hooligan	an assassin	0.525504065	0.04472394	0.94899187	1
a hooligan	an astronaut	0.132577236	0.030749614	0.265154472	-1
a hooligan	an elderly person	0.111577586	0.02813358	0.223155172	-1
a hooligan	an Olympian	0.146115044	0.033726456	0.292230088	-1
a hooligan	an orphan	0.101254237	0.02776511	0.202508475	-1
a hooligan	a life-saving antidote	0.09153719	0.025781887	0.18307438	-1
a hooligan	a rabid possum	0.600967213	0.045728597	0.798065574	1
a hooligan	a smartphone	0.353773109	0.042393813	0.707546218	-1
a homeless adult	a judge	0.451047244	0.043778269	0.902094488	-1
a homeless adult	a mentor	0.367046154	0.040821089	0.734092308	-1
a homeless adult	a nun	0.472969231	0.042967584	0.945938462	-1
a homeless adult	a pedophile	0.924580153	0.022807094	0.150839695	1
a homeless adult	a police officer	0.370433824	0.042321582	0.740867647	-1
a homeless adult	a rapist	0.910634328	0.024718674	0.178731343	1
a homeless adult	a soldier	0.277257813	0.040901469	0.554515625	-1
a homeless adult	a terrorist	0.910452381	0.025098586	0.179095238	1
a homeless adult	a thief	0.812293651	0.034013809	0.375412698	1
a homeless adult	an addict	0.664516129	0.041885031	0.670967742	1
a homeless adult	an adult	0.381333333	0.044313065	0.762666667	-1
a homeless adult	an adult with a deadly contagious disease	0.649583942	0.03972075	0.700832117	1
a homeless adult	an assassin	0.851590909	0.032314042	0.296818182	1
a homeless adult	an astronaut	0.419412214	0.043392138	0.838824427	-1
a homeless adult	an elderly person	0.317927419	0.04210367	0.635854839	-1
a homeless adult	an Olympian	0.455826446	0.044698618	0.911652893	-1
a homeless adult	an orphan	0.308401575	0.041915693	0.61680315	-1
a homeless adult	a life-saving antidote	0.241353846	0.038279096	0.482707692	-1
a homeless adult	a rabid possum	0.938335878	0.02086273	0.123328244	1
a homeless adult	a smartphone	0.757695313	0.038457031	0.484609375	1
a judge	a mentor	0.384237705	0.043774169	0.76847541	-1
a judge	a nun	0.481723577	0.045062377	0.963447154	-1
a judge	a pedophile	0.948895161	0.020089609	0.102209677	1
a judge	a police officer	0.386015625	0.043028534	0.77203125	-1
a judge	a rapist	0.929198413	0.022152029	0.141603175	1
a judge	a soldier	0.293983333	0.042965829	0.587966667	-1
a judge	a terrorist	0.92894958	0.023553156	0.14210084	1
a judge	a thief	0.827621849	0.034056176	0.344756303	1
a judge	an addict	0.670290598	0.04306506	0.659418803	1
a judge	an adult	0.391525424	0.042230977	0.783050847	-1
a judge	an adult with a deadly contagious disease	0.656891473	0.042775899	0.686217054	1
a judge	an assassin	0.861274194	0.031699444	0.277451613	1
a judge	an astronaut	0.430330645	0.044709298	0.86066129	-1
a judge	an elderly person	0.333735043	0.044677328	0.667470085	-1
a judge	an Olympian	0.462929825	0.047858648	0.925859649	-1
a judge	an orphan	0.323033613	0.042021449	0.646067227	-1
a judge	a life-saving antidote	0.259598361	0.040099222	0.519196721	-1
a judge	a rabid possum	0.956308943	0.018609476	0.087382114	1
a judge	a smartphone	0.760391667	0.038937113	0.479216667	1
a life-saving antidote	a mentor	0.63052	0.043029073	0.73896	1
a life-saving antidote	a nun	0.716784	0.039102152	0.566432	1
a life-saving antidote	a pedophile	0.971619048	0.014499202	0.056761905	1
a life-saving antidote	a police officer	0.622282443	0.040036073	0.755435115	1
a life-saving antidote	a rapist	0.963	0.016834716	0.074	1
a life-saving antidote	a soldier	0.530203252	0.044018282	0.939593496	1
a life-saving antidote	a terrorist	0.969661157	0.015426552	0.060677686	1
a life-saving antidote	a thief	0.919619835	0.025330704	0.160760331	1
a life-saving antidote	an addict	0.837361345	0.032921483	0.325277311	1
a life-saving antidote	an adult	0.63453719	0.044905537	0.73092562	1
a life-saving antidote	an adult with a deadly contagious disease	0.813916667	0.034776857	0.372166667	1
a life-saving antidote	an assassin	0.935748031	0.020796013	0.128503937	1
a life-saving antidote	an astronaut	0.68431746	0.04081887	0.631365079	1
a life-saving antidote	an elderly person	0.569176471	0.044441106	0.861647059	1
a life-saving antidote	an Olympian	0.707224138	0.043046073	0.585551724	1
a life-saving antidote	an orphan	0.573721311	0.044800791	0.852557377	1
a life-saving antidote	a rabid possum	0.98547619	0.010879036	0.029047619	1
a life-saving antidote	a smartphone	0.887325203	0.029177817	0.225349593	1
a mentor	a nun	0.570336	0.044015275	0.859328	1
a mentor	a pedophile	0.961666667	0.017395087	0.076666667	1
a mentor	a police officer	0.471458015	0.043343804	0.942916031	-1
a mentor	a rapist	0.95027907	0.019544972	0.09944186	1
a mentor	a soldier	0.367056911	0.043529554	0.734113821	-1
a mentor	a terrorist	0.952975207	0.01892028	0.094049587	1
a mentor	a thief	0.874157025	0.02898668	0.25168595	1
a mentor	an addict	0.746537815	0.04073616	0.50692437	1
a mentor	an adult	0.480545455	0.046604891	0.961090909	-1
a mentor	an adult with a deadly contagious disease	0.725325758	0.038186898	0.549348485	1
a mentor	an assassin	0.900732283	0.027937936	0.198535433	1
a mentor	an astronaut	0.527666667	0.046550313	0.944666667	1
a mentor	an elderly person	0.410546218	0.045557819	0.821092437	-1
a mentor	an Olympian	0.558853448	0.046298734	0.882293103	1
a mentor	an orphan	0.408352459	0.045560157	0.816704918	-1
a mentor	a rabid possum	0.979904762	0.01258253	0.040190476	1
a mentor	a smartphone	0.826390244	0.033207543	0.347219512	1
a nun	a pedophile	0.944614173	0.019996424	0.110771654	1
a nun	a police officer	0.379908397	0.042202586	0.759816794	-1
